player_id,g,ab,r,h,x2b,x3b,hr,rbi,sb,cs,bb,so,last_year
aardsda01,331,4,0,0,0,0,0,0,0,0,0,2,2015
abbotpa01,162,20,2,5,1,0,0,2,0,0,0,6,2004
abreubo01,2425,8480,1453,2470,574,59,288,1363,400,128,1476,1840,2014
adamsmi03,410,2,0,0,0,0,0,0,0,0,0,0,2014
adamste01,574,78,2,4,1,0,0,2,0,0,7,41,2005
affelje01,774,17,0,3,0,0,0,2,0,0,2,6,2015
alberma01,452,35,1,3,1,0,0,0,0,0,0,21,2016
aldrico01,13,18,1,1,0,1,0,1,0,0,0,9,2010
alexama02,594,1271,166,293,50,12,15,115,37,10,86,276,2006
alfonan01,592,14,0,2,0,0,0,2,0,0,0,8,2007
alfoned01,1506,5385,777,1532,282,18,146,744,53,17,596,617,2006
almoner01,55,133,18,31,7,0,2,14,3,0,8,29,2011
alomasa02,1377,4530,520,1236,249,10,112,588,25,24,212,499,2007
aloumo01,1942,7037,1109,2134,421,39,332,1287,106,37,737,894,2008
alvarwi01,355,95,6,13,0,0,0,1,0,0,4,33,2005
amezaal01,584,1408,173,348,47,19,12,110,49,26,112,223,2011
anderbr02,308,255,15,35,5,3,1,10,2,0,7,57,2005
anderga01,2228,8640,1084,2529,522,36,287,1365,80,47,429,1224,2010
anderma02,1151,3204,392,849,174,20,63,371,71,24,227,471,2009
andinro01,481,1344,159,313,58,1,18,97,24,12,113,313,2016
ankieri01,653,1921,260,462,101,10,76,251,21,12,162,555,2013
appieke01,414,83,4,8,0,0,0,4,0,0,1,39,2004
ariasjo01,474,1052,112,279,46,11,7,95,13,3,37,150,2015
armasto02,186,268,6,26,2,1,0,10,0,0,4,99,2008
arroybr01,421,603,35,77,16,0,6,29,1,0,14,266,2014
ashbyan01,313,521,26,70,13,0,1,26,1,0,16,218,2004
astacpe01,395,676,31,90,7,1,0,28,0,1,5,256,2006
atchisc01,300,2,0,0,0,0,0,0,0,0,0,1,2015
aurilri01,1652,5721,745,1576,301,22,186,756,23,18,450,861,2009
ausmubr01,1971,6279,718,1579,270,34,80,607,102,53,634,1034,2010
averyst01,306,437,35,76,14,4,4,32,1,1,12,135,2003
ayalalu01,534,14,0,4,1,0,0,0,0,0,0,3,2013
aybarer01,1346,4842,606,1324,241,45,51,451,144,58,257,613,2016
baergca01,1630,5439,731,1583,279,17,134,774,59,24,291,580,2005
baezda01,533,6,1,1,0,0,0,0,0,0,0,1,2011
baileho02,178,314,18,49,6,0,0,17,0,0,10,120,2016
bakerje03,748,1793,244,474,108,15,54,235,14,1,139,472,2015
bakersc02,193,32,1,3,1,0,0,0,0,0,0,13,2015
bakopa01,789,2202,195,508,98,11,24,195,4,9,233,589,2009
baldwja01,266,44,1,4,1,1,0,2,0,0,0,20,2005
balejo01,109,17,0,2,0,0,0,0,0,0,0,8,2009
balfogr01,534,2,0,0,0,0,0,0,0,0,0,2,2015
barajro01,1114,3460,396,812,187,1,136,480,2,2,207,638,2012
bardjo01,586,1778,162,452,109,3,39,220,1,4,175,299,2011
barkeke01,126,285,32,71,12,0,6,36,3,0,34,65,2009
barmecl01,1186,3805,434,932,208,17,89,415,43,30,216,734,2015
barremi01,1054,3512,398,925,220,21,98,424,11,17,279,480,2009
bartlja01,892,3141,435,849,156,26,31,286,123,37,275,526,2014
batismi01,658,311,20,28,5,0,2,9,0,0,11,173,2012
batisto01,1309,4568,625,1146,226,17,221,718,47,26,287,790,2007
bautida01,895,2517,317,685,121,19,62,319,37,16,149,409,2004
bautijo02,1519,5139,878,1311,267,17,308,862,60,26,881,1113,2016
bayja01,1278,4505,737,1200,240,30,222,754,95,17,636,1216,2013
beckejo02,335,289,19,41,12,0,3,18,0,0,12,110,2014
beckro01,704,19,0,4,0,0,0,1,0,0,0,10,2004
bedarer01,241,60,2,9,1,0,0,1,0,0,2,22,2014
beimejo01,677,45,3,10,1,0,0,1,0,0,2,19,2015
belisma01,599,89,2,7,3,0,0,3,1,0,3,49,2016
bellda01,1403,4826,587,1239,267,18,123,589,19,20,428,687,2006
bellhe01,590,6,0,0,0,0,0,0,0,0,0,2,2014
bellhma01,731,2107,324,484,113,13,69,246,30,13,346,723,2007
belliro01,1484,5045,685,1377,328,24,114,601,43,28,488,797,2010
bellja01,2063,7398,1123,1963,394,67,195,860,91,60,853,1443,2003
beltrad01,2720,10295,1428,2942,591,36,445,1571,119,42,775,1584,2016
beltrca01,2457,9301,1522,2617,536,78,421,1536,312,49,1051,1693,2016
benitar01,762,8,0,0,0,0,0,2,0,0,0,4,2008
bennega01,587,1690,141,408,74,3,22,192,6,5,139,270,2008
benoijo01,713,9,1,0,0,0,0,0,0,0,0,4,2016
bensokr01,208,321,23,42,7,0,1,22,0,0,15,127,2010
bereja01,211,161,9,30,6,1,0,5,0,0,3,60,2003
berkmla01,1879,6491,1146,1905,422,30,366,1234,86,48,1201,1300,2013
betanra01,680,1,0,0,0,0,0,0,0,0,0,1,2015
betemwi01,805,2093,264,558,126,8,75,283,9,8,211,612,2013
billich01,226,355,14,49,8,0,3,21,0,0,19,170,2015
blacktr01,82,5,0,1,0,0,0,0,0,0,0,3,2013
blakeca01,1265,4500,644,1186,264,18,167,616,36,37,445,1037,2011
blancan01,456,1061,127,280,69,9,15,96,4,13,67,168,2016
blanche01,971,2761,274,615,145,11,72,298,6,11,254,546,2013
blantjo01,376,216,13,23,0,0,0,6,0,0,8,92,2016
blevije01,425,2,0,0,0,0,0,0,0,0,0,1,2016
bloomwi01,1055,2891,398,778,110,23,18,225,133,51,189,494,2015
blumge01,1389,3966,446,990,206,15,99,479,19,19,332,667,2012
boehrbr01,356,31,0,2,1,0,0,2,0,0,3,16,2004
bondeje01,225,30,1,1,0,0,0,0,0,0,0,18,2013
bondsba01,2986,9847,2227,2935,601,77,762,1996,514,141,2558,1539,2007
bonifem01,793,2572,353,664,94,32,13,162,166,48,214,594,2016
booneaa01,1152,3871,519,1017,216,17,126,555,107,30,303,707,2009
boonebr01,1780,6683,927,1775,366,28,252,1021,94,53,552,1295,2005
bootcch01,91,2,0,0,0,0,0,0,0,0,0,2,2013
borbope02,368,7,0,1,0,0,0,0,0,0,0,4,2003
bordepa01,1099,3282,289,831,168,12,69,346,9,14,155,557,2005
bordimi01,1720,5770,676,1500,257,30,91,626,96,58,500,800,2003
borkoda01,181,10,0,0,0,0,0,1,0,0,0,4,2008
borlato02,207,12,1,1,0,0,0,2,0,0,0,3,2004
borowjo01,423,9,1,2,0,0,0,0,0,0,0,7,2008
bottari01,562,17,1,2,2,0,0,1,0,0,0,8,2005
bournmi01,1361,4784,678,1272,191,69,36,361,341,94,445,1124,2016
bowiemi01,88,26,0,4,0,0,0,4,0,0,1,7,2008
boyerbl01,394,9,0,0,0,0,0,0,0,0,0,6,2016
bradfch01,562,0,0,0,0,0,0,0,0,0,0,0,2009
bradlmi01,1042,3605,541,976,202,17,125,481,88,40,496,817,2011
braggda01,916,2461,341,627,145,14,46,260,56,24,304,570,2004
branyru01,1059,2934,405,682,143,8,194,467,16,4,403,1118,2011
braunry02,1354,5249,879,1597,317,43,285,937,181,50,473,1070,2016
breslcr01,539,4,0,0,0,0,0,0,0,0,0,2,2016
brocado01,637,69,9,12,0,1,0,1,2,0,0,19,2009
