player_id,h,doubles,triples,hr,ab,g,slg,player
ruthba01,2873,506,136,714,8398,2503,0.69,Babe Ruth
willite01,2654,525,71,521,7706,2292,0.634,Ted Williams
gehrilo01,2721,534,163,493,8001,2164,0.632,Lou Gehrig
foxxji01,2646,458,125,534,8134,2317,0.609,Jimmie Foxx
bondsba01,2935,601,77,762,9847,2986,0.607,Barry Bonds
greenha01,1628,379,71,331,5193,1394,0.605,Hank Greenberg
mcgwima01,1626,252,6,583,6187,1874,0.588,Mark McGwire
ramirma02,2574,547,20,555,8244,2302,0.585,Manny Ramirez
dimagjo01,2214,389,131,361,6821,1736,0.579,Joe DiMaggio
hornsro01,2930,541,169,301,8173,2259,0.577,Rogers Hornsby
pujolal01,2825,602,16,591,9138,2426,0.573,Albert Pujols
walkela01,2160,471,62,383,6907,1988,0.565,Larry Walker
belleal01,1726,389,21,381,5853,1539,0.564,Albert Belle
cabremi01,2519,523,17,446,7853,2096,0.562,Miguel Cabrera
mizejo01,2011,367,83,359,6443,1884,0.562,Johnny Mize
gonzaju03,1936,388,25,434,6556,1689,0.561,Juan Gonzalez
musiast01,3630,725,177,475,10972,3026,0.559,Stan Musial
mantlmi01,2415,344,72,536,8102,2401,0.557,Mickey Mantle
mayswi01,3283,523,140,660,10881,2992,0.557,Willie Mays
aaronha01,3771,624,98,755,12364,3298,0.555,Hank Aaron
thomafr04,2468,495,12,521,8199,2322,0.555,Frank Thomas
thomeji01,2328,451,26,612,8422,2543,0.554,Jim Thome
guerrvl01,2590,477,46,449,8155,2147,0.553,Vladimir Guerrero
ortizda01,2472,632,19,541,8640,2408,0.552,David Ortiz
rodrial01,3115,548,31,696,10566,2784,0.55,Alex Rodriguez
kinerra01,1451,216,39,369,5205,1472,0.548,Ralph Kiner
delgaca01,2038,483,18,473,7283,2035,0.546,Carlos Delgado
piazzmi01,2127,344,8,427,6911,1912,0.545,Mike Piazza
wilsoha01,1461,266,67,244,4760,1348,0.545,Hack Wilson
braunry02,1597,317,43,285,5249,1354,0.544,Ryan Braun
kleinch01,2076,398,74,300,6486,1753,0.543,Chuck Klein
bagweje01,2314,488,32,449,7797,2150,0.54,Jeff Bagwell
snidedu01,2116,358,85,407,7161,2143,0.54,Duke Snider
heltoto01,2519,592,37,369,7962,2247,0.539,Todd Helton
griffke02,2781,524,38,630,9801,2671,0.538,Ken Griffey
berkmla01,1905,422,30,366,6491,1879,0.537,Lance Berkman
robinfr02,2943,528,72,586,10006,2808,0.537,Frank Robinson
vottojo01,1407,310,16,221,4501,1268,0.536,Joey Votto
simmoal01,2927,539,149,307,8759,2215,0.535,Al Simmons
allendi01,1848,320,79,351,6332,1749,0.534,Dick Allen
averiea01,2019,401,128,238,6353,1668,0.534,Earl Averill
sosasa01,2408,379,45,609,8813,2354,0.534,Sammy Sosa
ottme01,2876,488,72,511,9456,2730,0.533,Mel Ott
hermaba01,1818,399,110,181,5603,1552,0.532,Babe Herman
willike01,1552,285,77,196,4862,1397,0.53,Ken Williams
jonesch06,2726,549,38,468,8984,2499,0.529,Chipper Jones
stargwi01,2232,423,55,475,7927,2360,0.529,Willie Stargell
edmonji01,1949,437,25,393,6858,2011,0.527,Jim Edmonds
schmimi01,2234,408,59,548,8352,2404,0.527,Mike Schmidt
hafeych01,1466,341,67,164,4625,1283,0.526,Chick Hafey
vaughmo01,1620,270,10,328,5532,1512,0.523,Mo Vaughn
bergewa01,1550,299,59,242,5163,1350,0.522,Wally Berger
troskha01,1561,331,58,228,5161,1347,0.522,Hal Trosky
garcino01,1747,370,52,229,5586,1434,0.521,Nomar Garciaparra
gonzaca01,1152,233,36,201,3955,1064,0.521,Carlos Gonzalez
heilmha01,2660,542,151,183,7787,2148,0.52,Harry Heilmann
mitchke01,1173,224,25,234,4134,1223,0.52,Kevin Mitchell
broutda01,2296,460,205,106,6711,1673,0.519,Dan Brouthers
kellech01,1085,166,72,189,3790,1170,0.518,Charlie Keller
jacksjo01,1772,307,168,54,4981,1332,0.517,Shoeless Joe Jackson
aloumo01,2134,421,39,332,7037,1942,0.516,Moises Alou
cruzne02,1287,252,12,284,4683,1270,0.516,Nelson Cruz
giambja01,2010,405,9,440,7267,2260,0.516,Jason Giambi
hamiljo03,1134,234,24,200,3909,1027,0.516,Josh Hamilton
cansejo01,1877,340,14,462,7057,1887,0.515,Jose Canseco
hollima01,1995,448,32,295,6583,1773,0.515,Matt Holliday
howarry01,1475,277,21,382,5707,1572,0.515,Ryan Howard
martied01,2247,514,15,309,7213,2055,0.515,Edgar Martinez
mccovwi01,2211,353,46,521,8197,2588,0.515,Willie McCovey
palmera01,3020,585,38,569,10472,2831,0.515,Rafael Palmeiro
sheffga01,2689,467,27,509,9217,2576,0.514,Gary Sheffield
cobbty01,4189,724,295,117,11434,3035,0.512,Ty Cobb
burksel01,2107,402,63,352,7232,2000,0.51,Ellis Burks
heathje01,1447,279,102,194,4937,1383,0.509,Jeff Heath
killeha01,2086,290,24,573,8147,2435,0.509,Harmon Killebrew
matheed01,2315,354,72,512,8537,2391,0.509,Eddie Mathews
mcgrifr01,2490,441,24,493,8757,2460,0.509,Fred McGriff
teixema01,1862,408,18,409,6936,1862,0.509,Mark Teixeira
sexsori01,1286,260,17,306,4928,1367,0.507,Richie Sexson
fieldpr01,1645,321,10,319,5821,1611,0.506,Prince Fielder
johnsbo01,2051,396,95,288,6920,1863,0.506,Bob Johnson
terrybi01,2193,373,112,154,6428,1721,0.506,Bill Terry
delahed01,2596,522,185,101,7505,1835,0.505,Ed Delahanty
medwijo01,2471,540,113,205,7635,1984,0.505,Joe Medwick
strawda01,1401,256,38,335,5418,1583,0.505,Darryl Strawberry
thompsa01,1979,340,160,127,5984,1407,0.505,Sam Thompson
gilesbr02,1897,411,55,287,6527,1847,0.502,Brian Giles
ordonma01,2156,426,21,294,6978,1848,0.502,Magglio Ordonez
riceji01,2452,373,79,382,8225,2089,0.502,Jim Rice
tulowtr01,1329,253,24,217,4552,1220,0.501,Troy Tulowitzki
bankser01,2583,407,90,512,9421,2528,0.5,Ernie Banks
bottoji01,2313,465,151,219,7471,1991,0.5,Jim Bottomley
camparo01,1161,178,18,242,4205,1215,0.5,Roy Campanella
gosligo01,2735,500,173,248,8656,2287,0.5,Goose Goslin
hernaro01,1,0,0,0,2,1010,0.5,Roberto Hernandez
justida01,1571,280,24,305,5625,1610,0.5,David Justice
kentje01,2461,560,47,377,8498,2298,0.5,Jeff Kent
kleskry01,1564,343,33,278,5611,1736,0.5,Ryan Klesko
soriaal01,2095,481,31,412,7750,1975,0.5,Alfonso Soriano
speaktr01,3514,792,222,117,10195,2789,0.5,Tris Speaker
bicheda01,1906,401,27,274,6381,1704,0.499,Dante Bichette
cepedor01,2351,417,27,379,7927,2124,0.499,Orlando Cepeda
davisch02,922,189,4,241,3693,1040,0.499,Chris Davis
galaran01,2333,444,32,399,8096,2257,0.499,Andres Galarraga
hornebo01,1047,169,8,218,3777,1020,0.499,Bob Horner
howarfr01,1774,245,35,382,6488,1895,0.499,Frank Howard
canoro01,2210,479,33,278,7210,1848,0.498,Robinson Cano
encared01,1439,311,8,310,5409,1513,0.498,Edwin Encarnacion
hafnetr01,1107,250,13,213,4058,1183,0.498,Travis Hafner
kluszte01,1766,290,29,279,5929,1718,0.498,Ted Kluszewski
salmoti01,1674,339,24,299,5934,1672,0.498,Tim Salmon
clarkwi02,2176,440,47,284,7173,1976,0.497,Will Clark
meusebo01,1693,368,95,156,5475,1407,0.497,Bob Meusel
sauerha01,1278,200,19,288,4796,1399,0.496,Hank Sauer
tartada01,1366,289,22,262,5011,1406,0.496,Danny Tartabull
leede02,1959,432,30,331,6962,1942,0.495,Derrek Lee
ramirha01,1660,343,32,240,5627,1475,0.495,Hanley Ramirez
rosenal01,1063,165,20,192,3725,1044,0.495,Al Rosen
buhneja01,1273,233,19,310,5013,1472,0.494,Jay Buhner
greensh01,2003,445,35,328,7082,1951,0.494,Shawn Green
bautijo02,1311,267,17,308,5139,1519,0.493,Jose Bautista
beltrca01,2617,536,78,421,9301,2457,0.492,Carlos Beltran
camildo01,1482,261,86,239,5353,1490,0.492,Dolph Camilli
colliri02,1121,205,65,135,3784,1084,0.492,Ripper Collins
gonzaad01,1954,415,12,308,6739,1804,0.492,Adrian Gonzalez
ramirar01,2303,495,24,386,8136,2194,0.492,Aramis Ramirez
willibi01,2711,434,88,426,9350,2488,0.492,Billy Williams
henrito01,1297,269,73,183,4603,1284,0.491,Tommy Henrich
lopezja01,1527,267,19,260,5319,1503,0.491,Javy Lopez
wrighda03,1777,390,26,242,5996,1583,0.491,David Wright
dobyla01,1515,243,52,253,5348,1533,0.49,Larry Doby
dunnad01,1631,334,10,462,6883,2001,0.49,Adam Dunn
jacksre01,2584,463,49,563,9864,2820,0.49,Reggie Jackson
jenkige01,1293,303,22,221,4700,1349,0.49,Geoff Jenkins
kempma01,1513,285,36,240,5288,1426,0.49,Matt Kemp
longoev01,1311,302,17,241,4837,1279,0.49,Evan Longoria
rolensc01,2077,517,43,316,7398,2038,0.49,Scott Rolen
colavro01,1730,283,21,374,6503,1841,0.489,Rocky Colavito
